Anzahl der Privathaushalte nach Haushaltstyp seit 2012 - Bezirke Wien | Number of private households by type of household since 2012 - districts of Vienna;;;;;;;;;;;;
NUTS;DISTRICT_CODE;SUB_DISTRICT_CODE;REF_YEAR;REF_DATE;EPH;MPH;EHE;LGM;V_K;M_K;MFH;ANST
AT13;90100;90100;2012;20121031;4449;389;2136;533;213;814;87;11
AT13;90200;90200;2012;20121031;21685;2134;13560;4252;818;4069;428;23
AT13;90300;90300;2012;20121031;21587;1966;12071;3629;747;3857;291;23
AT13;90400;90400;2012;20121031;7828;758;4101;1462;289;1406;91;10
AT13;90500;90500;2012;20121031;14152;1435;6989;2519;439;2141;183;10
AT13;90600;90600;2012;20121031;7931;872;3669;1598;253;1224;91;17
AT13;90700;90700;2012;20121031;8535;921;3581;1775;251;1241;100;7
AT13;90800;90800;2012;20121031;6089;662;2835;1197;214;954;74;11
AT13;90900;90900;2012;20121031;10952;1135;4813;2055;345;1632;119;23
AT13;91000;91000;2012;20121031;37605;2936;30359;5626;1349;7635;748;31
AT13;91100;91100;2012;20121031;17256;1113;15524;3385;615;4070;421;30
AT13;91200;91200;2012;20121031;20546;1655;13565;3235;694;3770;368;22
AT13;91300;91300;2012;20121031;11496;589;8369;1656;397;2240;191;24
AT13;91400;91400;2012;20121031;19889;1267;13933;3270;684;3655;365;19
AT13;91500;91500;2012;20121031;17655;1919;10158;3055;659;2849;343;22
AT13;91600;91600;2012;20121031;23414;2012;14720;3815;778;3932;415;21
AT13;91700;91700;2012;20121031;12386;1097;7956;2141;475;2227;231;17
AT13;91800;91800;2012;20121031;11977;951;6795;2036;425;2202;170;20
AT13;91900;91900;2012;20121031;16467;1085;10423;2266;634;3291;285;27
AT13;92000;92000;2012;20121031;18631;1637;12816;3136;631;3218;400;13
AT13;92100;92100;2012;20121031;28880;1794;24860;5292;1127;6796;656;24
AT13;92200;92200;2012;20121031;26870;1610;29809;6434;1128;7482;742;29
AT13;92300;92300;2012;20121031;17799;915;17294;3366;613;4219;378;28
AT13;90100;90100;2013;20131031;4317;371;2119;558;221;831;81;11
AT13;90200;90200;2013;20131031;22113;2209;13656;4545;797;4072;530;24
AT13;90300;90300;2013;20131031;21722;1981;11998;3879;718;3843;335;27
AT13;90400;90400;2013;20131031;7922;793;4075;1508;280;1406;111;12
AT13;90500;90500;2013;20131031;14095;1485;7013;2675;462;2060;202;14
AT13;90600;90600;2013;20131031;7937;904;3649;1723;254;1225;109;18
AT13;90700;90700;2013;20131031;8594;963;3575;1861;271;1216;100;9
AT13;90800;90800;2013;20131031;6042;681;2834;1255;222;944;73;11
AT13;90900;90900;2013;20131031;10853;1181;4774;2171;360;1634;141;22
AT13;91000;91000;2013;20131031;37759;3065;30557;5933;1396;7598;853;37
AT13;91100;91100;2013;20131031;17520;1135;15517;3408;610;4019;466;32
AT13;91200;91200;2013;20131031;20586;1729;13584;3365;687;3808;417;26
AT13;91300;91300;2013;20131031;11542;614;8371;1748;416;2237;197;25
AT13;91400;91400;2013;20131031;19923;1310;14095;3473;705;3704;350;20
AT13;91500;91500;2013;20131031;17850;2026;10238;3177;616;2837;362;24
AT13;91600;91600;2013;20131031;23600;2086;14717;3998;816;3903;468;22
AT13;91700;91700;2013;20131031;12395;1119;8013;2303;484;2221;263;18
AT13;91800;91800;2013;20131031;12121;969;6717;2079;395;2193;163;21
AT13;91900;91900;2013;20131031;16760;1060;10437;2373;616;3296;296;29
AT13;92000;92000;2013;20131031;18660;1698;12696;3194;609;3264;453;15
AT13;92100;92100;2013;20131031;29150;1839;24971;5485;1115;6849;721;30
AT13;92200;92200;2013;20131031;27387;1694;30069;6723;1161;7509;808;30
AT13;92300;92300;2013;20131031;17761;924;17326;3535;638;4203;401;28
AT13;90100;90100;2014;20141031;4262;406;2111;551;238;849;90;11
AT13;90200;90200;2014;20141031;22270;2383;13708;4934;847;4093;531;26
AT13;90300;90300;2014;20141031;21603;2049;11920;4245;693;3904;362;31
AT13;90400;90400;2014;20141031;7902;819;4079;1601;307;1429;108;12
AT13;90500;90500;2014;20141031;14111;1557;6886;2848;448;2079;245;13
AT13;90600;90600;2014;20141031;7797;949;3560;1840;269;1196;119;21
AT13;90700;90700;2014;20141031;8571;987;3556;1933;279;1200;109;12
AT13;90800;90800;2014;20141031;6056;631;2763;1372;209;959;78;17
AT13;90900;90900;2014;20141031;10657;1260;4710;2347;354;1654;141;26
AT13;91000;91000;2014;20141031;37756;3140;30675;6513;1484;7710;998;41
AT13;91100;91100;2014;20141031;17594;1194;15582;3641;638;4080;520;35
AT13;91200;91200;2014;20141031;20507;1838;13491;3612;698;3853;459;31
AT13;91300;91300;2014;20141031;11575;673;8403;1834;432;2312;203;24
AT13;91400;91400;2014;20141031;19940;1412;14116;3711;720;3687;399;23
AT13;91500;91500;2014;20141031;17756;2112;10245;3440;658;2782;406;36
AT13;91600;91600;2014;20141031;23671;2197;14649;4287;864;3950;516;25
AT13;91700;91700;2014;20141031;12422;1192;8022;2528;488;2235;272;22
AT13;91800;91800;2014;20141031;12036;1021;6638;2230;396;2208;181;23
AT13;91900;91900;2014;20141031;16475;1108;10332;2615;615;3256;312;36
AT13;92000;92000;2014;20141031;18469;1733;12636;3353;647;3273;499;20
AT13;92100;92100;2014;20141031;29519;1886;24948;5948;1162;6890;807;33
AT13;92200;92200;2014;20141031;27977;1762;30176;7098;1207;7606;938;35
AT13;92300;92300;2014;20141031;17996;955;17241;3621;646;4201;424;29
AT13;90100;90100;2015;20151031;4274;394;2101;588;243;853;94;10
AT13;90200;90200;2015;20151031;22388;2463;13667;5125;860;4021;543;28
AT13;90300;90300;2015;20151031;21520;2177;11865;4357;708;3941;373;30
AT13;90400;90400;2015;20151031;7853;859;4059;1690;298;1408;103;11
AT13;90500;90500;2015;20151031;14048;1623;6826;3042;447;2067;248;11
AT13;90600;90600;2015;20151031;7791;1048;3564;1907;267;1210;107;19
AT13;90700;90700;2015;20151031;8674;994;3595;2042;288;1188;108;11
AT13;90800;90800;2015;20151031;6014;682;2771;1435;209;945;79;17
AT13;90900;90900;2015;20151031;10709;1366;4679;2437;352;1641;143;27
AT13;91000;91000;2015;20151031;38227;3310;30896;6953;1506;7661;1052;44
AT13;91100;91100;2015;20151031;17924;1255;15853;3865;653;4074;527;33
AT13;91200;91200;2015;20151031;20559;1965;13527;3870;708;3831;480;32
