StatBezirkNr;Statistischer Bezirk;Gebäude im Eigentum einer Privatperson;Gebäude im Eigentum mehrerer Privatpersonen;Gebäude im Eigentum des Bundes;Gebäude im Eigentum des Landes;Gebäude im Eigentum der Gemeinde;Gebäude im Eigentum von gemeinnützigen Bauvereinigungen;Gebäude im Eigentum sonstiger juristischer Personen;Gebäude mit unbekanntem Eigentümer
1;Innere Stadt;525;670;10;22;75;255;535;0 
2;Urfahr;608;819;6;4;64;758;229;0 
3;Pöstlingberg;502;645;0;1;14;30;50;0 
4;St. Magdalena;539;977;0;2;17;195;55;0 
5;Dornach-Auhof;207;325;13;1;6;98;104;0 
6;Kaplanhof;142;160;9;9;33;314;154;0 
7;Franckviertel;82;58;47;1;105;224;67;0 
8;Bulgariplatz;245;263;9;21;12;284;268;0 
9;Froschberg;722;744;1;3;29;268;156;0 
10;Bindermichl-Keferfeld;571;690;4;0;14;809;128;0 
11;Spallerhof;336;504;10;10;16;452;110;0 
12;Neue Heimat;310;318;0;1;14;511;194;0 
13;Kleinmünchen-Auwiesen;475;448;1;3;33;885;146;0 
14;Industriegebiet-Hafen;101;17;2;1;8;0;607;0 
15;Ebelsberg;344;310;2;0;17;478;41;0 
16;Pichling;724;859;0;3;15;376;92;0 
