FID,SCD,STR_NAME,BEZANZ,BEZLISTE,GUELTIG_AB,GIP_OBJECTID,NAMECAT,NAMECAT_NAME
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d2c,14281,Aldo-Moro-Hof,1,18,1987-01-15,10008961,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d2b,14282,Ernst-Kirchweger-Hof,1,10,1987-06-09,10008962,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d2a,14284,Maria-Franc-Hof,1,8,1987-09-10,10008964,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d29,14286,Franz-Glaserer-Hof,1,14,1987-10-08,10008966,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d28,14288,Franz-Grolig-Hof,1,5,1988-01-18,10008968,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d27,18043,Bahnwächterhaus,1,21,1973-01-05,10009764,10001,Objektname
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d26,18046,Bei der Kreuzeiche,1,19,1973-01-05,10009767,7355,Flurname
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d25,18047,Bei der Tafeleiche,1,23,1973-01-05,10009768,7355,Flurname
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d24,14328,Herbert-Böhm-Hof,1,11,2001-01-11,10389558,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d23,15156,Rückhaltebecken Alterlaa,1,23,2006-03-28,10459047,62,"Stehendes Gewässer (See, Teich)"
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d22,15157,Rückhaltebecken Inzersdorf 1,1,23,2006-03-28,10459048,62,"Stehendes Gewässer (See, Teich)"
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d21,15160,Knotzenbach,1,23,2006-03-29,10459147,2013,Fließgewässer
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d20,15161,Schallautzergraben,1,13,2011-01-13,10459148,2013,Fließgewässer
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d1f,15164,Marienbach,1,13,2006-03-29,10459151,2013,Fließgewässer
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d1e,15167,Quellengraben,1,17,2006-03-29,10459154,2013,Fließgewässer
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d1d,15143,Konstantinteich,1,2,2006-02-02,10457878,62,"Stehendes Gewässer (See, Teich)"
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d1c,06165,Kieslerweg,1,22,1987-10-08,10005993,2058,Weg in Kleingartenanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d1b,10770,Rettungstunnel AKH,2,9|18,1994-09-21,10008047,7356,Tunnel
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d1a,16018,KLG Am Ries Strasser,1,22,1987-11-06,10009123,7353,Kleingartenanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d19,17035,Temporärer Markt Freyung,1,1,1992-01-17,10009715,7354,Markt
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d18,71609,KG Jedlesee,1,21,1983-10-13,10010768,7253,Katastralgemeinde
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d17,71614,KG Schwarze Lackenau,3,19|20|21,1983-10-13,10010773,7253,Katastralgemeinde
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d16,71617,KG Strebersdorf,1,21,1983-10-13,10010776,7253,Katastralgemeinde
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d15,71651,KG Aspern,2,2|22,1987-01-30,10010780,7253,Katastralgemeinde
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d14,22222,Sportplatz Rapid Oberlaa,1,10,2013-02-06,10010589,20020,Sportplatz
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d13,22223,Sportplatz Haus des Sportes,1,10,2013-02-19,10010590,20020,Sportplatz
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d12,22224,Sportplatz Favoritner-Athletik-Club,1,10,2013-02-07,10010591,20020,Sportplatz
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d11,14059,Fröhlichhof,1,12,1930-06-30,10008746,35100,städtische Wohnhausanlage
GEONAMENSVERZOGD.fid--460ab849_186eab0a17f_-1d10,17044,Temporärer Markt Liesing,1,23,1992-01-23,10009724,7354,Markt
