Paket Gebäude- und Wohnungsregister - Gemeinde
Quelle: Statistik Austria
Datenstand: 2022-01-01
erstellt am: 2022-08-03
Es gelten die allgemeingültigen, rechtlichen Hinweise und Copyright-Bestimmungen.
http://www.statistik.at/web_de/rechtlicher_hinweis/index.html
http://www.statistik.at/web_de/impressum/index.html

Tabelle;Spalte;Merkmal;Ausprägung
daten_gwr.v_geb_;geb;Zahl der Gebäude;Anzahl
daten_gwr.v_geb_;gebmwhg;Zahl der Gebäude mit Wohnungen;Anzahl
daten_gwr.v_geb_;ntz;Zahl der Nutzungseinheiten;Anzahl
daten_gwr.v_geb_;wgeb;Zahl der Wohngebäude;Anzahl
daten_gwr.v_geb_;whg;Zahl der Wohnungen;Anzahl
daten_gwr.v_geb_;bp_vor1919;Gebäude nach Bauperiode;vor 1919
daten_gwr.v_geb_;bp_1919b1944;Gebäude nach Bauperiode;1919-1944
daten_gwr.v_geb_;bp_1945b1960;Gebäude nach Bauperiode;1945-1960
daten_gwr.v_geb_;bp_1961b1970;Gebäude nach Bauperiode;1961-1970
daten_gwr.v_geb_;bp_1971b1980;Gebäude nach Bauperiode;1971-1980
daten_gwr.v_geb_;bp_1981b1990;Gebäude nach Bauperiode;1981-1990
daten_gwr.v_geb_;bp_1991b2000;Gebäude nach Bauperiode;1991-2000
daten_gwr.v_geb_;bp_2001b2005;Gebäude nach Bauperiode;2001-2005
daten_gwr.v_geb_;bp_2006b2010;Gebäude nach Bauperiode;2006-2010
daten_gwr.v_geb_;bp_2011b2015;Gebäude nach Bauperiode;2011-2015
daten_gwr.v_geb_;bp_2016b2020;Gebäude nach Bauperiode;2016-2020
daten_gwr.v_geb_;bp_2021b2025;Gebäude nach Bauperiode;2021-2025
daten_gwr.v_geb_;bp_unbekannt;Gebäude nach Bauperiode;unbekannt
daten_gwr.v_geb_;wgeb_1whg;Gebäude nach Gebäudeeigenschaft;Wohngebäude mit einer Wohnung
daten_gwr.v_geb_;wgeb_2whg;Gebäude nach Gebäudeeigenschaft;Wohngebäude mit zwei Wohnungen
