id;name;wraum_1;wraum_2;wraum_3;wraum_4;wraum_5;wraum_ge6;wraum_unbekannt;fl_lt45;fl_45b60;fl_60b75;fl_75b90;fl_90b120;fl_120b150;fl_150b200;fl_ge200;fl_ohne
10101;Eisenstadt;404;571;1895;2412;1756;1807;230;441;1001;1570;1708;2013;1181;612;319;230
10201;Rust;327;158;204;330;296;226;35;330;173;152;191;298;214;110;73;35
10301;Breitenbrunn am Neusiedler See;71;112;210;330;270;357;0;77;110;189;185;281;266;156;86;0
10302;Donnerskirchen;29;44;178;256;273;340;20;23;94;153;170;239;255;132;54;20
10303;Großhöflein;20;57;170;234;325;307;2;34;56;122;136;249;324;134;59;1
10304;Hornstein;48;140;372;524;563;840;12;280;314;355;323;504;422;188;101;12
10305;Klingenbach;6;28;116;190;165;150;1;17;41;73;107;176;147;66;28;1
10306;Leithaprodersdorf;6;12;38;79;135;245;0;6;16;23;28;102;147;110;83;0
10307;Mörbisch am See;34;56;189;280;288;527;2;59;88;140;186;300;325;196;80;2
10308;Müllendorf;11;16;78;171;180;300;5;7;42;77;103;203;191;91;42;5
10309;Neufeld an der Leitha;180;224;427;510;393;553;22;251;328;329;374;447;270;192;96;22
10310;Oggau am Neusiedler See;13;49;143;245;261;346;5;32;99;148;114;254;248;120;42;5
10311;Oslip;9;26;118;149;226;180;0;19;37;61;74;189;235;63;30;0
10312;Purbach am Neusiedler See;116;168;288;411;489;356;160;150;149;195;224;375;475;193;67;160
10313;Sankt Margarethen im Burgenland;33;106;262;331;355;447;7;76;106;152;142;371;440;178;69;7
10314;Schützen am Gebirge;6;51;90;149;167;244;2;16;38;59;76;141;196;113;68;2
10315;Siegendorf;49;86;195;415;423;416;5;69;112;120;194;424;393;192;80;5
10316;Steinbrunn;72;183;342;486;343;412;37;190;228;261;221;387;283;198;70;37
10317;Trausdorf an der Wulka;105;89;239;405;339;297;10;38;112;202;255;383;308;129;47;10
10318;Wimpassing an der Leitha;20;40;111;184;179;336;13;31;57;91;118;236;183;96;58;13
10319;Wulkaprodersdorf;4;24;122;192;270;324;8;10;28;47;106;220;331;131;63;8
10320;Loretto;14;35;57;90;58;99;0;40;41;52;34;66;79;31;10;0
